"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2015","Poland","Total","Percentage of active population","Total","7.5",""
"2015","Portugal","Total","Thousand persons","Total","648",""
"2015","Portugal","Total","Percentage of total population","Total","8.3",""
"2015","Portugal","Total","Percentage of active population","Total","12.6",""
"2015","Romania","Total","Thousand persons","Total","624",""
"2015","Romania","Total","Percentage of total population","Total","4.1",""
"2015","Romania","Total","Percentage of active population","Total","6.8",""
"2015","Slovenia","Total","Thousand persons","Total","90",""
"2015","Slovenia","Total","Percentage of total population","Total","5.7",""
"2015","Slovenia","Total","Percentage of active population","Total","9.0",""
"2015","Slovakia","Total","Thousand persons","Total","314",""
"2015","Slovakia","Total","Percentage of total population","Total","7.3",""
"2015","Slovakia","Total","Percentage of active population","Total","11.5",""
"2015","Finland","Total","Thousand persons","Total","252",""
"2015","Finland","Total","Percentage of total population","Total","6.2",""
"2015","Finland","Total","Percentage of active population","Total","9.4",""
"2015","Sweden","Total","Thousand persons","Total","387",""
"2015","Sweden","Total","Percentage of total population","Total","5.4",""
"2015","Sweden","Total","Percentage of active population","Total","7.4",""
"2015","United Kingdom","Total","Thousand persons","Total","1,746",""
"2015","United Kingdom","Total","Percentage of total population","Total","3.7",""
"2015","United Kingdom","Total","Percentage of active population","Total","5.3",""
"2015","Iceland","Total","Thousand persons","Total","7,635",""
"2015","Iceland","Total","Percentage of total population","Total","3.3",""
"2015","Iceland","Total","Percentage of active population","Total","4.0",""
"2015","Norway","Total","Thousand persons","Total","121",""
"2015","Norway","Total","Percentage of total population","Total","3.1",""
"2015","Norway","Total","Percentage of active population","Total","4.4",""
"2015","Turkey","Total","Thousand persons","Total","3,054",""
"2015","Turkey","Total","Percentage of total population","Total","5.5",""
"2015","Turkey","Total","Percentage of active population","Total","10.3",""
"2016","Belgium","Total","Thousand persons","Total","390",""
"2016","Belgium","Total","Percentage of total population","Total","4.7",""
"2016","Belgium","Total","Percentage of active population","Total","7.8",""
"2016","Bulgaria","Total","Thousand persons","Total","247",""
"2016","Bulgaria","Total","Percentage of total population","Total","4.5",""
"2016","Bulgaria","Total","Percentage of active population","Total","7.6",""
"2016","Czech Republic","Total","Thousand persons","Total","212",""
"2016","Czech Republic","Total","Percentage of total population","Total","2.6",""
"2016","Czech Republic","Total","Percentage of active population","Total","4.0",""
"2016","Denmark","Total","Thousand persons","Total","187",""
"2016","Denmark","Total","Percentage of total population","Total","4.3",""
"2016","Denmark","Total","Percentage of active population","Total","6.2",""
"2016","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","1,774",""
"2016","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","2.9",""
"2016","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","4.1",""
"2016","Estonia","Total","Thousand persons","Total","47",""
"2016","Estonia","Total","Percentage of total population","Total","4.8",""
"2016","Estonia","Total","Percentage of active population","Total","6.8",""
"2016","Ireland","Total","Thousand persons","Total","173",""
"2016","Ireland","Total","Percentage of total population","Total","5.1",""
"2016","Ireland","Total","Percentage of active population","Total","7.9",""
"2016","Greece","Total","Thousand persons","Total","1,131",""
"2016","Greece","Total","Percentage of total population","Total","14.1",""
"2016","Greece","Total","Percentage of active population","Total","23.6",""
"2016","Spain","Total","Thousand persons","Total","4,481",""
"2016","Spain","Total","Percentage of total population","Total","12.8",""
"2016","Spain","Total","Percentage of active population","Total","19.6",""
"2016","France","Total","Thousand persons","Total","2,972",""
"2016","France","Total","Percentage of total population","Total","6.1",""
"2016","France","Total","Percentage of active population","Total","10.1",""
"2016","Croatia","Total","Thousand persons","Total","245",""
"2016","Croatia","Total","Percentage of total population","Total","7.5",""
"2016","Croatia","Total","Percentage of active population","Total","13.4",""
"2016","Italy","Total","Thousand persons","Total","3,012",""
"2016","Italy","Total","Percentage of total population","Total","6.6",""
"2016","Italy","Total","Percentage of active population","Total","11.7",""
"2016","Cyprus","Total","Thousand persons","Total","54",""
"2016","Cyprus","Total","Percentage of total population","Total","8.6",""
"2016","Cyprus","Total","Percentage of active population","Total","13.0",""
"2016","Latvia","Total","Thousand persons","Total","95",""
"2016","Latvia","Total","Percentage of total population","Total","6.6",""
"2016","Latvia","Total","Percentage of active population","Total","9.6",""
"2016","Lithuania","Total","Thousand persons","Total","116",""
"2016","Lithuania","Total","Percentage of total population","Total","5.3",""
"2016","Lithuania","Total","Percentage of active population","Total","7.9",""
"2016","Luxembourg","Total","Thousand persons","Total","18",""
"2016","Luxembourg","Total","Percentage of total population","Total","4.0",""
"2016","Luxembourg","Total","Percentage of active population","Total","6.3",""
"2016","Hungary","Total","Thousand persons","Total","235",""
"2016","Hungary","Total","Percentage of total population","Total","3.1",""
"2016","Hungary","Total","Percentage of active population","Total","5.1",""
"2016","Malta","Total","Thousand persons","Total","9",""
"2016","Malta","Total","Percentage of total population","Total","2.8",""
"2016","Malta","Total","Percentage of active population","Total","4.7",""
"2016","Netherlands","Total","Thousand persons","Total","538",""
"2016","Netherlands","Total","Percentage of total population","Total","4.2",""
"2016","Netherlands","Total","Percentage of active population","Total","6.0",""
"2016","Austria","Total","Thousand persons","Total","270",""
"2016","Austria","Total","Percentage of total population","Total","4.1",""
"2016","Austria","Total","Percentage of active population","Total","6.0",""
"2016","Poland","Total","Thousand persons","Total","1,063",""
"2016","Poland","Total","Percentage of total population","Total","3.8",""
"2016","Poland","Total","Percentage of active population","Total","6.2",""
"2016","Portugal","Total","Thousand persons","Total","571",""
"2016","Portugal","Total","Percentage of total population","Total","7.3",""
"2016","Portugal","Total","Percentage of active population","Total","11.2",""
"2016","Romania","Total","Thousand persons","Total","530",""
"2016","Romania","Total","Percentage of total population","Total","3.5",""
"2016","Romania","Total","Percentage of active population","Total","5.9",""
"2016","Slovenia","Total","Thousand persons","Total","80",""
"2016","Slovenia","Total","Percentage of total population","Total","5.0",""
"2016","Slovenia","Total","Percentage of active population","Total","8.0",""
"2016","Slovakia","Total","Thousand persons","Total","267",""
"2016","Slovakia","Total","Percentage of total population","Total","6.2",""
"2016","Slovakia","Total","Percentage of active population","Total","9.7",""
"2016","Finland","Total","Thousand persons","Total","237",""
"2016","Finland","Total","Percentage of total population","Total","5.8",""
"2016","Finland","Total","Percentage of active population","Total","8.8",""
"2016","Sweden","Total","Thousand persons","Total","366",""
"2016","Sweden","Total","Percentage of total population","Total","5.0",""
"2016","Sweden","Total","Percentage of active population","Total","6.9",""
"2016","United Kingdom","Total","Thousand persons","Total","1,599",""
"2016","United Kingdom","Total","Percentage of total population","Total","3.3",""
"2016","United Kingdom","Total","Percentage of active population","Total","4.8",""
"2016","Iceland","Total","Thousand persons","Total","5,883",""
"2016","Iceland","Total","Percentage of total population","Total","2.5",""
"2016","Iceland","Total","Percentage of active population","Total","3.0",""
"2016","Norway","Total","Thousand persons","Total","132",""
"2016","Norway","Total","Percentage of total population","Total","3.3",""
"2016","Norway","Total","Percentage of active population","Total","4.7",""
"2016","Turkey","Total","Thousand persons","Total","3,330",""
"2016","Turkey","Total","Percentage of total population","Total","5.9",""
"2016","Turkey","Total","Percentage of active population","Total","10.9",""
